Player,height,weight,collage,born
Dragan Bender,216,102,,1997
Marquese Chriss,208,105,University of Washington,1997
Henry Ellenson,211,111,Marquette University,1997
Brandon Ingram,206,86,Duke University,1997
Thon Maker,216,97,,1997
Jamal Murray,193,93,University of Kentucky,1997
Georgios Papagiannis,216,108,,1997
Diamond Stone,211,115,University of Maryland,1997
Edy Tavares,211,115,,1997
Ivica Zubac,216,120,,1997
Devin Booker,198,93,University of Kentucky,1996
Tyus Jones,188,88,Duke University,1996
Kevon Looney,206,99,University of California; Los Angeles,1996
Emmanuel Mudiay,196,90,,1996
Xavier Munford,196,90,,1996
Myles Turner,211,110,University of Texas at Austin,1996
Rashad Vaughn,198,91,University of Nevada; Las Vegas,1996
Justise Winslow,201,102,Duke University,1996
Wade Baldwin,193,91,Vanderbilt University,1996
Malik Beasley,196,88,Florida State University,1996
Deyonta Davis,211,107,Michigan State University,1996
Cheick Diallo,206,99,University of Kansas,1996
Skal Labissiere,211,102,University of Kentucky,1996
Dejounte Murray,196,77,University of Washington,1996
Chinanu Onuaku,208,111,University of Louisville,1996
Malachi Richardson,198,92,Syracuse University,1996
Domantas Sabonis,211,108,Gonzaga University,1996
Tyler Ulis,178,68,University of Kentucky,1996
Stephen Zimmerman,213,108,University of Nevada; Las Vegas,1996
Bruno Caboclo,206,98,,1995
Clint Capela,206,98,,1995
Dante Exum,198,86,,1995
Aaron Gordon,206,99,University of Arizona,1995
Zach LaVine,196,85,University of California; Los Angeles,1995
Jabari Parker,203,113,Duke University,1995
Noah Vonleh,208,108,Indiana University,1995
T.J. Warren,208,108,,1995
Andrew Wiggins,203,90,University of Kansas,1995
C.J. Wilcox,203,90,,1995
James Young,198,97,University of Kentucky,1995
Cliff Alexander,203,111,University of Kansas,1995
Mario Hezonja,203,97,,1995
Rondae Hollis-Jefferson,201,99,University of Arizona,1995
Damien Inglis,203,111,,1995
Nikola Jokic,208,113,,1995
Trey Lyles,208,106,University of Kentucky,1995
Chris McCullough,211,90,Syracuse University,1995
Jahlil Okafor,211,124,Duke University,1995
Kelly Oubre,201,92,University of Kansas,1995
Bobby Portis,211,104,University of Arkansas,1995
Kristaps Porzingis,221,108,,1995
Karl-Anthony Towns,213,110,University of Kentucky,1995
Christian Wood,211,99,University of Nevada; Las Vegas,1995
Ben Bentil,206,106,Providence College,1995
Kay Felder,175,79,Oakland University,1995
Juan Hernangomez,206,104,,1995
Timothe Luwawu-Cabarrot,198,92,,1995
Patrick McCaw,201,83,University of Nevada; Las Vegas,1995
Jakob Poeltl,213,112,University of Utah,1995
Isaiah Whitehead,193,96,Seton Hall University,1995
Giannis Antetokounmpo,211,100,,1994
Archie Goodwin,196,90,University of Kentucky,1994
Jordan Adams,196,94,University of California; Los Angeles,1994
Tyler Ennis,190,87,Syracuse University,1994
Jerami Grant,203,95,Syracuse University,1994
Gary Harris,193,95,Michigan State University,1994
Nerlens Noel,211,103,University of Kentucky,1994
Jusuf Nurkic,213,127,,1994
Elfrid Payton,193,83,University of Louisiana at Lafayette,1994
Julius Randle,206,113,University of Kentucky,1994
Marcus Smart,193,99,Oklahoma State University,1994
Jarnell Stokes,206,119,University of Tennessee,1994
Sam Dekker,206,104,University of Wisconsin,1994
Jerian Grant,203,95,Syracuse University,1994
Montrezl Harrell,203,108,University of Louisville,1994
Aaron Harrison,198,95,University of Kentucky,1994
Jarell Martin,208,108,Louisiana State University,1994
T.J. McConnell,208,108,,1994
Jordan Mickey,203,106,Louisiana State University,1994
Cameron Payne,190,83,Murray State University,1994
Terry Rozier,188,86,University of Louisville,1994
D'Angelo Russell,188,86,,1994
DeAndre' Bembry,198,95,Saint Joseph's University,1994
Joel Bolomboy,206,106,Weber State University,1994
Kris Dunn,193,95,Providence College,1994
Joel Embiid,213,113,University of Kansas,1994
Marcus Georges-Hunt,196,97,Georgia Institute of Technology,1994
Andrew Harrison,198,96,University of Kentucky,1994
Willy Hernangomez,211,108,,1994
Demetrius Jackson,185,91,University of Notre Dame,1994
Jake Layman,206,95,University of Maryland,1994
Caris LeVert,201,92,University of Michigan,1994
Tim Quarterman,198,88,Louisiana State University,1994
Dario Saric,208,101,,1994
Wayne Selden,196,104,University of Kansas,1994
Pascal Siakam,206,104,New Mexico State University,1994
Isaiah Taylor,190,77,University of Texas at Austin,1994
Mike Tobey,213,117,University of Virginia,1994
Fred VanVleet,183,88,Wichita State University,1994
Taurean Waller-Prince,183,88,,1994
Paul Zipser,203,97,,1994
Bradley Beal,196,93,University of Florida,1993
Andre Drummond,211,126,University of Connecticut,1993
Maurice Harkless,206,97,St. John's University,1993
Michael Kidd-Gilchrist,201,105,University of Kentucky,1993
Marquis Teague,188,85,University of Kentucky,1993
Tony Wroten,198,92,University of Washington,1993
Steven Adams,213,115,University of Pittsburgh,1993
Anthony Bennett,203,111,University of Nevada; Las Vegas,1993
Kentavious Caldwell-Pope,196,92,University of Georgia,1993
Sergey Karasev,201,94,,1993
Alex Len,216,117,University of Maryland,1993
Ben McLemore,196,88,University of Kansas,1993
Otto Porter,203,89,Georgetown University,1993
Dennis Schroder,185,78,,1993
Adonis Thomas,201,90,University of Memphis,1993
Kyle Anderson,206,104,University of California; Los Angeles,1993
Spencer Dinwiddie,198,90,University of Colorado,1993
Grant Jerrett,208,106,University of Arizona,1993
Johnny O'Bryant,206,116,Louisiana State University,1993
Nik Stauskas,198,92,University of Michigan,1993
Justin Anderson,198,103,University of Virginia,1993
Willie Cauley-Stein,213,108,University of Kentucky,1993
Pat Connaughton,196,93,University of Notre Dame,1993
Branden Dawson,198,102,Michigan State University,1993
Darrun Hilliard,198,92,Villanova University,1993
Richaun Holmes,208,111,Bowling Green State University,1993
Frank Kaminsky,213,109,University of Wisconsin,1993
Luis Montero,201,83,Westchester CC,1993
Norman Powell,193,97,University of California; Los Angeles,1993
Josh Richardson,198,90,University of Tennessee,1993
Alex Abrines,198,86,,1993
Ron Baker,193,99,Wichita State University,1993
Nicolas Brussino,201,88,,1993
Quinn Cook,188,83,Duke University,1993
Yogi Ferrell,183,81,Indiana University,1993
Dorian Finney-Smith,203,99,University of Florida,1993
Bryn Forbes,190,86,Michigan State University,1993
Patricio Garino,198,95,George Washington University,1993
Treveon Graham,198,99,Virginia Commonwealth University,1993
A.J. Hammons,198,99,,1993
Buddy Hield,193,97,University of Oklahoma,1993
Danuel House,201,93,Texas A&M University,1993
Shawn Long,206,115,University of Louisiana at Lafayette,1993
Georges Niang,203,104,Iowa State University,1993
David Nwaba,193,94,California Polytechnic State University; San Luis Obispo,1993
Daniel Ochefu,211,111,Villanova University,1993
Alex Poythress,201,107,University of Kentucky,1993
Chasson Randle,188,83,Stanford University,1993
Jarrod Uthoff,206,100,University of Iowa,1993
Denzel Valentine,198,96,Michigan State University,1993
Bismack Biyombo,206,115,,1992
Kyrie Irving,190,87,Duke University,1992
Enes Kanter,211,111,,1992
D.J. Kennedy,211,111,,1992
Evan Fournier,201,92,,1992
Terrence Jones,206,114,University of Kentucky,1992
Jeremy Lamb,196,83,University of Connecticut,1992
Meyers Leonard,216,111,University of Illinois at Urbana-Champaign,1992
Quincy Miller,206,95,Baylor University,1992
Austin Rivers,193,90,Duke University,1992
Jared Sullinger,206,117,Ohio State University,1992
Jonas Valanciunas,213,120,,1992
Vander Blue,193,90,Marquette University,1992
Trey Burke,185,86,University of Michigan,1992
Allen Crabbe,198,95,University of California,1992
Rudy Gobert,216,111,,1992
Shane Larkin,180,79,University of Miami,1992
Ricky Ledo,201,88,,1992
Shabazz Muhammad,198,101,University of California; Los Angeles,1992
Victor Oladipo,193,95,Indiana University,1992
Cody Zeller,213,108,Indiana University,1992
Sim Bhullar,226,163,New Mexico State University,1992
Bojan Bogdanovic,198,92,,1992
Jabari Brown,193,97,University of Missouri,1992
Jordan Clarkson,196,87,University of Missouri,1992
Bryce Cotton,185,74,Providence College,1992
Rodney Hood,203,93,Duke University,1992
Nick Johnson,190,91,University of Arizona,1992
Tyler Johnson,193,84,California State University; Fresno,1992
Devyn Marble,198,90,University of Iowa,1992
James Michael,198,90,,1992
K.J. McDaniels,198,90,,1992
Doug McDermott,203,102,Creighton University,1992
Mitch McGary,208,115,University of Michigan,1992
Lucas Nogueira,213,109,,1992
Thanasis Antetokounmpo,201,92,,1992
Keith Appling,185,83,Michigan State University,1992
Coty Clarke,201,105,University of Arkansas,1992
Bryce Dejean-Jones,198,94,Iowa State University,1992
Cristiano Felicio,208,124,,1992
Raul Neto,185,81,,1992
J.J. O'Brien,185,81,,1992
Walter Tavares,221,117,,1992
Axel Toupane,201,89,,1992
Briante Weber,188,74,Virginia Commonwealth University,1992
Delon Wright,196,83,University of Utah,1992
Joe Young,188,81,University of Oregon,1992
Davis Bertans,208,95,,1992
Malcolm Brogdon,196,97,University of Virginia,1992
Jaylen Brown,193,97,University of Missouri,1992
Semaj Christon,190,86,Xavier University,1992
Michael Gbinije,201,90,Syracuse University,1992
Sheldon McClellan,196,90,University of Miami,1992
Maurice Ndour,206,90,Ohio University,1992
Okaro White,203,92,Florida State University,1992
Kyle Wiltjer,208,108,Gonzaga University,1992
Derrick Favors,208,120,Georgia Institute of Technology,1991
Xavier Henry,198,99,University of Kansas,1991
Alec Burks,198,97,University of Colorado,1991
Cory Joseph,190,87,University of Texas at Austin,1991
Kawhi Leonard,201,104,San Diego State University,1991
Darius Morris,193,86,University of Michigan,1991
Josh Selby,188,83,University of Kansas,1991
Trey Thompkins,206,107,University of Texas at Austin,1991
Tristan Thompson,206,107,University of Texas at Austin,1991
Jeremy Tyler,208,117,,1991
Will Barton,198,79,University of Memphis,1991
Jared Cunningham,193,88,Oregon State University,1991
John Jenkins,193,97,Vanderbilt University,1991
Perry Jones,211,106,Baylor University,1991
Doron Lamb,193,95,University of Kentucky,1991
Kendall Marshall,193,90,University of North Carolina,1991
Khris Middleton,203,106,Texas A&M University,1991
Thomas Robinson,208,107,University of Kansas,1991
Terrence Ross,201,93,University of Washington,1991
Tornike Shengelia,206,98,,1991
Dion Waiters,193,102,Syracuse University,1991
Maalik Wayns,188,90,Villanova University,1991
Reggie Bullock,201,92,University of North Carolina,1991
Isaiah Canaan,183,91,Murray State University,1991
Michael Carter-Williams,198,86,Syracuse University,1991
Ian Clark,190,79,Belmont University,1991
Troy Daniels,193,92,Virginia Commonwealth University,1991
Brandon Davies,208,108,Brigham Young University,1991
Jamaal Franklin,196,86,San Diego State University,1991
Solomon Hill,201,102,University of Arizona,1991
Ryan Kelly,211,104,Duke University,1991
Ray McCallum,190,86,University of Detroit Mercy,1991
C.J. McCollum,190,86,,1991
Mike Muscala,211,108,Bucknell University,1991
Nemanja Nedovic,190,87,,1991
Kelly Olynyk,213,107,Gonzaga University,1991
Phil Pressey,180,79,University of Missouri,1991
Tony Snell,201,90,University of New Mexico,1991
Hollis Thompson,203,93,Georgetown University,1991
Nate Wolters,193,86,South Dakota State University,1991
Furkan Aldemir,208,108,,1991
Jerrelle Benimon,203,111,Towson University,1991
Tarik Black,206,113,University of Kansas,1991
Will Cherry,183,83,University of Montana,1991
Jack Cooley,206,117,University of Notre Dame,1991
Andre Dawkins,196,97,Duke University,1991
Cleanthony Early,203,95,Wichita State University,1991
Langston Galloway,188,90,Saint Joseph's University,1991
Erick Green,193,83,Virginia Polytechnic Institute and State University,1991
Joe Harris,198,99,University of Virginia,1991
Alex Kirk,213,111,University of New Mexico,1991
Joffrey Lauvergne,211,99,,1991
Nikola Mirotic,208,99,,1991
Eric Moreland,208,107,Oregon State University,1991
Shabazz Napier,185,79,University of Connecticut,1991
Adreian Payne,208,107,Michigan State University,1991
Dwight Powell,211,108,Stanford University,1991
Russ Smith,183,74,University of Louisville,1991
David Stockton,180,74,Gonzaga University,1991
Shayne Whittington,211,113,Western Michigan University,1991
Rakeem Christmas,206,113,Syracuse University,1991
Duje Dukan,206,99,University of Wisconsin,1991
Jarell Eddie,201,98,Virginia Polytechnic Institute and State University,1991
Josh Huestis,201,104,Stanford University,1991
R.J. Hunter,201,104,,1991
Jordan McRae,198,83,University of Tennessee,1991
Lamar Patterson,196,102,University of Pittsburgh,1991
Pierre Jackson,178,81,Baylor University,1991
Rodney McGruder,193,92,Kansas State University,1991
Tomas Satoransky,201,95,,1991
Jrue Holiday,193,92,University of California; Los Angeles,1990
Al-Farouq Aminu,206,99,Wake Forest University,1990
Avery Bradley,188,81,University of Texas at Austin,1990
DeMarcus Cousins,211,122,University of Kentucky,1990
Paul George,206,99,California State University; Fresno,1990
Gordon Hayward,203,102,Butler University,1990
Greg Monroe,211,120,Georgetown University,1990
Lance Stephenson,196,104,University of Cincinnati,1990
John Wall,193,88,University of Kentucky,1990
Tyler Honeycutt,203,85,University of California; Los Angeles,1990
Reggie Jackson,190,94,Boston College,1990
Malcolm Lee,196,90,University of California; Los Angeles,1990
Travis Leslie,193,92,University of Georgia,1990
Shelvin Mack,190,92,Butler University,1990
Daniel Orton,208,115,University of Kentucky,1990
Ricky Rubio,193,87,,1990
Iman Shumpert,196,99,Georgia Institute of Technology,1990
Klay Thompson,201,97,Washington State University,1990
Jan Vesely,211,108,,1990
Nikola Vucevic,213,117,University of Southern California,1990
Quincy Acy,201,108,Baylor University,1990
Jae Crowder,198,106,Marquette University,1990
Draymond Green,201,104,Michigan State University,1990
John Henson,211,103,University of North Carolina,1990
DeQuan Jones,203,100,University of Miami,1990
Damian Lillard,190,88,Weber State University,1990
Scott Machado,185,92,Iona College,1990
Fab Melo,213,115,Syracuse University,1990
Darius Miller,203,106,University of Kentucky,1990
Donatas Motiejunas,213,100,,1990
Arnett Moultrie,211,112,Mississippi State University,1990
Kevin Murphy,196,83,Tennessee Technological University,1990
Kyle O'Quinn,208,113,Norfolk State University,1990
Henry Sims,208,112,Georgetown University,1990
Tyshawn Taylor,190,83,University of Kansas,1990
Tyler Zeller,213,114,University of North Carolina,1990
Chris Babb,196,102,Iowa State University,1990
Lorenzo Brown,196,85,North Carolina State University,1990
Robert Covington,206,97,Tennessee State University,1990
Seth Curry,188,83,Duke University,1990
Matthew Dellavedova,193,89,Saint Mary's College of California,1990
Gorgui Dieng,211,109,University of Louisville,1990
Carrick Felix,198,91,Arizona State University,1990
Justin Hamilton,213,117,Louisiana State University,1990
Ognjen Kuzmic,216,113,,1990
Erik Murphy,208,104,University of Florida,1990
James Nunnally,201,92,University of California; Santa Barbara,1990
Mason Plumlee,211,111,Duke University,1990
Peyton Siva,183,83,University of Louisville,1990
James Southerland,203,97,Syracuse University,1990
D.J. Stephens,203,97,,1990
Casper Ware,178,79,California State University; Long Beach,1990
Jeff Withey,213,104,University of Kansas,1990
Cameron Bairstow,206,113,University of New Mexico,1990
James Ennis,201,95,California State University; Long Beach,1990
Tim Frazier,185,77,Pennsylvania State University,1990
Drew Gordon,206,111,University of New Mexico,1990
JaMychal Green,206,102,University of Alabama,1990
P.J. Hairston,206,102,,1990
Cory Jefferson,206,98,Baylor University,1990
Sean Kilpatrick,193,95,University of Cincinnati,1990
Kostas Papanikolaou,203,102,,1990
David Wear,208,104,University of California; Los Angeles,1990
Travis Wear,208,104,University of California; Los Angeles,1990
Derrick Jones,203,100,University of Miami,1990
Nicolas Laprovittola,193,81,,1990
Marshall Plumlee,211,111,Duke University,1990
Michael Beasley,206,106,Kansas State University,1989
Kosta Koufos,213,120,Ohio State University,1989
Anthony Randolph,208,92,Louisiana State University,1989
DeJuan Blair,201,122,University of Pittsburgh,1989
DeMar DeRozan,201,100,University of Southern California,1989
Tyreke Evans,198,99,University of Memphis,1989
Jonny Flynn,183,83,Syracuse University,1989
James Harden,196,99,Arizona State University,1989
Serge Ibaka,208,106,,1989
Brandon Jennings,185,77,,1989
Byron Mullens,213,124,Ohio State University,1989
A.J. Price,213,124,,1989
James Anderson,198,96,Oklahoma State University,1989
Luke Babbitt,206,102,University of Nevada; Reno,1989
Eric Bledsoe,185,86,University of Kentucky,1989
Ed Davis,208,108,University of North Carolina,1989
Devin Ebanks,206,97,West Virginia University,1989
Christian Eyenga,196,95,,1989
Blake Griffin,208,113,University of Oklahoma,1989
Manny Harris,196,83,University of Michigan,1989
Patrick Patterson,206,104,University of Kentucky,1989
Samardo Samuels,206,117,University of Louisville,1989
Kevin Seraphin,206,129,,1989
Willie Warren,193,92,University of Oklahoma,1989
Hassan Whiteside,213,120,Marshall University,1989
Lavoy Allen,206,117,Temple University,1989
MarShon Brooks,196,90,Providence College,1989
Jimmy Butler,201,99,Marquette University,1989
Kenneth Faried,203,103,Morehead State University,1989
Jimmer Fredette,188,88,Brigham Young University,1989
Justin Harper,208,102,University of Richmond,1989
Josh Harrellson,208,124,University of Kentucky,1989
Cory Higgins,196,81,University of Colorado,1989
Charles Jenkins,190,99,Hofstra University,1989
Jon Leuer,208,103,University of Wisconsin,1989
Chris Singleton,203,104,Florida State University,1989
Elliot Williams,196,86,University of Memphis,1989
Kent Bazemore,196,91,Old Dominion University,1989
Festus Ezeli,211,115,Vanderbilt University,1989
Justin Holiday,198,83,University of Washington,1989
Orlando Johnson,196,99,University of California; Santa Barbara,1989
Kevin Jones,203,113,West Virginia University,1989
Andrew Nicholson,206,113,St. Bonaventure University,1989
Robert Sacre,213,122,Gonzaga University,1989
Dwight Buycks,190,86,Marquette University,1989
Nick Calathes,198,96,University of Florida,1989
Dewayne Dedmon,213,111,University of Southern California,1989
Elias Harris,203,108,Gonzaga University,1989
Scotty Hopson,201,92,University of Tennessee,1989
Robbie Hummel,203,97,Purdue University,1989
Toure' Murry,196,88,Wichita State University,1989
Zoran Dragic,196,90,,1989
Kalin Lucas,185,88,Michigan State University,1989
Tibor Pleiss,221,116,,1989
Malcolm Delaney,190,86,Virginia Polytechnic Institute and State University,1989
Mindaugas Kuzminskas,206,97,,1989
Kevin Durant,206,108,University of Texas at Austin,1988
Spencer Hawes,216,111,University of Washington,1988
Thaddeus Young,203,100,Georgia Institute of Technology,1988
Alexis Ajinca,218,112,,1988
Ryan Anderson,208,108,University of California,1988
Darrell Arthur,206,106,University of Kansas,1988
D.J. Augustin,206,106,,1988
Nicolas Batum,203,90,,1988
Jerryd Bayless,190,90,University of Arizona,1988
Danilo Gallinari,208,102,,1988
Eric Gordon,193,97,Indiana University,1988
Donte Greene,211,102,Syracuse University,1988
DeAndre Jordan,211,120,Texas A&M University,1988
Brook Lopez,213,124,Stanford University,1988
Robin Lopez,213,115,Stanford University,1988
Kevin Love,208,113,University of California; Los Angeles,1988
JaVale McGee,213,122,University of Nevada; Reno,1988
Greg Oden,213,113,Ohio State University,1988
Derrick Rose,190,86,University of Memphis,1988
Russell Westbrook,190,90,University of California; Los Angeles,1988
D.J. White,190,90,,1988
Rodrigue Beaubois,183,77,,1988
Chase Budinger,201,94,University of Arizona,1988
Omri Casspi,206,102,,1988
Earl Clark,208,102,University of Louisville,1988
Stephen Curry,190,86,Davidson College,1988
Austin Daye,211,99,Gonzaga University,1988
DaJuan Summers,203,104,Georgetown University,1988
Jeff Teague,188,84,Wake Forest University,1988
Solomon Alabi,216,113,Florida State University,1988
Cole Aldrich,211,113,University of Kansas,1988
Derrick Caracter,206,124,University of Texas at El Paso,1988
Landry Fields,201,95,Stanford University,1988
Luke Harangody,203,111,University of Notre Dame,1988
Gani Lawal,206,106,Georgia Institute of Technology,1988
Jeremy Lin,190,90,Harvard University,1988
Dexter Pittman,211,139,University of Texas at Austin,1988
Quincy Pondexter,201,99,University of Washington,1988
Larry Sanders,211,106,Virginia Commonwealth University,1988
Ish Smith,183,79,Wake Forest University,1988
Pape Sy,201,102,,1988
Evan Turner,201,99,Ohio State University,1988
Ben Uzoh,190,92,University of Tulsa,1988
Norris Cole,188,79,Cleveland State University,1988
Courtney Fortson,180,83,University of Arkansas,1988
Andrew Goudelock,190,90,College of Charleston,1988
Dennis Horner,206,104,North Carolina State University,1988
DeAndre Liggins,198,94,University of Kentucky,1988
Chandler Parsons,208,104,University of Florida,1988
Xavier Silas,196,92,Northern Illinois University,1988
Donald Sloan,190,92,Texas A&M University,1988
Nolan Smith,188,83,Duke University,1988
Julyan Stone,198,90,University of Texas at El Paso,1988
Lance Thomas,203,106,Duke University,1988
Malcolm Thomas,206,102,San Diego State University,1988
Chris Wright,203,102,University of Dayton,1988
Patrick Beverley,185,83,University of Arkansas,1988
Victor Claver,206,101,,1988
Kim English,198,90,University of Missouri,1988
Kris Joseph,201,95,Syracuse University,1988
Tim Ohlbrecht,211,115,,1988
Miles Plumlee,211,112,Duke University,1988
Mike Scott,203,107,University of Virginia,1988
Alexey Shved,198,86,,1988
Kyle Singler,203,103,Duke University,1988
Jarvis Varnado,206,104,Mississippi State University,1988
Vitor Faverani,211,117,,1988
Jorge Gutierrez,190,86,University of California,1988
Gal Mekel,190,86,Wichita State University,1988
Miroslav Raduljica,213,113,,1988
Patrick Christopher,196,94,University of California,1988
Nemanja Bjelica,208,108,,1988
Boban Marjanovic,221,131,,1988
Andrew Bynum,213,129,,1987
Amir Johnson,206,108,,1987
Yaroslav Korolev,206,92,,1987
Ersan Ilyasova,208,106,,1987
Wilson Chandler,203,102,DePaul University,1987
Mike Conley,185,79,Ohio State University,1987
Javaris Crittenton,196,90,Georgia Institute of Technology,1987
Yi Jianlian,213,108,,1987
Josh McRoberts,208,108,Duke University,1987
Julian Wright,203,102,University of Kansas,1987
Chris Douglas-Roberts,201,90,University of Memphis,1987
Malik Hairston,198,99,University of Oregon,1987
Marreese Speights,208,115,University of Florida,1987
Jon Brockman,201,115,University of Washington,1987
Darren Collison,183,79,University of California; Los Angeles,1987
Dante Cunningham,203,104,Villanova University,1987
Wayne Ellington,193,90,University of North Carolina,1987
Alonzo Gee,198,102,University of Alabama,1987
Jordan Hill,208,106,University of Arizona,1987
Jonas Jerebko,208,104,,1987
James Johnson,206,113,Wake Forest University,1987
Ty Lawson,180,88,University of North Carolina,1987
Eric Maynor,190,79,Virginia Commonwealth University,1987
Jodie Meeks,193,95,University of Kentucky,1987
Hasheem Thabeet,221,119,University of Connecticut,1987
Marcus Thornton,193,92,Louisiana State University,1987
Terrence Williams,198,99,University of Louisville,1987
Trevor Booker,203,103,Clemson University,1987
Craig Brackins,208,104,Iowa State University,1987
Sherron Collins,180,92,University of Kansas,1987
Jeremy Evans,206,90,Western Kentucky University,1987
Damion James,201,102,University of Texas at Austin,1987
Wesley Johnson,201,97,Syracuse University,1987
Hamady N'Diaye,213,106,Rutgers University,1987
Ekpe Udoh,208,108,Baylor University,1987
Greivis Vasquez,198,98,University of Maryland,1987
Jerome Dyson,190,81,University of Connecticut,1987
Jeff Foote,213,120,Cornell University,1987
Terrel Harris,196,86,Oklahoma State University,1987
Darington Hobson,201,95,University of New Mexico,1987
JaJuan Johnson,206,113,Wake Forest University,1987
Jerry Smith,188,86,University of Louisville,1987
Joel Freeland,208,113,,1987
Ben Hansbrough,190,92,University of Notre Dame,1987
Viacheslav Kravtsov,213,117,,1987
Luke Zeller,211,111,University of Notre Dame,1987
Luigi Datome,203,97,,1987
Shane Edwards,201,99,University of Arkansas at Little Rock,1987
Arinze Onuaku,206,115,Syracuse University,1987
Joe Ingles,203,102,,1987
Jerel McNeal,190,90,Marquette University,1987
Elijah Millsap,198,102,University of Alabama at Birmingham,1987
Alex Stepheson,208,122,University of Southern California,1987
