Player,height,weight,collage,born
Jonathan Gibson,188,83,New Mexico State University,1987
Andris Biedrins,211,108,,1986
Martynas Andriuskevicius,218,108,,1986
Andray Blatche,211,106,,1986
Gerald Green,201,92,,1986
Johan Petro,213,112,,1986
Jordan Farmar,188,81,University of California; Los Angeles,1986
Rudy Gay,203,104,University of Connecticut,1986
Daniel Gibson,188,86,University of Texas at Austin,1986
Kyle Lowry,183,92,Villanova University,1986
Randolph Morris,208,120,University of Kentucky,1986
Patrick O'Bryant,213,117,Bradley University,1986
Sergio Rodriguez,190,79,,1986
Rajon Rondo,185,84,University of Kentucky,1986
Cedric Simmons,206,106,North Carolina State University,1986
Tyrus Thomas,206,97,Louisiana State University,1986
P.J. Tucker,206,97,,1986
Marcus Vinicius,206,97,,1986
Marco Belinelli,196,95,,1986
Corey Brewer,206,84,University of Florida,1986
Glen Davis,206,131,Louisiana State University,1986
Kyrylo Fesenko,216,130,,1986
Taurean Green,183,80,University of Florida,1986
Al Horford,208,111,University of Florida,1986
Ian Mahinmi,211,113,,1986
Gabe Pruitt,193,77,University of Southern California,1986
Ramon Sessions,190,86,University of Nevada; Reno,1986
Rodney Stuckey,196,95,Eastern Washington University,1986
Sean Williams,208,106,Boston College,1986
Joe Alexander,203,104,West Virginia University,1986
Mario Chalmers,188,86,University of Kansas,1986
Joe Crawford,196,95,University of Kentucky,1986
Goran Dragic,190,86,,1986
Roy Hibbert,218,122,Georgetown University,1986
J.J. Hickson,218,122,,1986
George Hill,190,85,Indiana University-Purdue University Indianapolis,1986
Othello Hunter,203,102,Ohio State University,1986
Nathan Jawai,208,127,Midland College,1986
Walter Sharpe,206,111,University of Alabama at Birmingham,1986
Mike Taylor,188,74,Iowa State University,1986
Kyle Weaver,198,91,Washington State University,1986
Sonny Weems,198,92,University of Arkansas,1986
DeMarre Carroll,203,97,University of Missouri,1986
JamesOn Curry,190,86,Oklahoma State University,1986
Toney Douglas,188,88,Florida State University,1986
Sundiata Gaines,185,83,University of Georgia,1986
Taylor Griffin,201,107,University of Oklahoma,1986
Cedric Jackson,190,86,Cleveland State University,1986
Garrett Temple,198,88,Louisiana State University,1986
Jeff Adrien,201,111,University of Connecticut,1986
Omer Asik,213,115,,1986
Marcus Cousin,211,111,University of Houston,1986
Jordan Crawford,196,95,University of Kentucky,1986
Semih Erden,213,108,,1986
Lazar Hayward,198,102,Marquette University,1986
Timofey Mozgov,216,124,,1986
Nikola Pekovic,211,139,,1986
Andy Rautins,193,86,Syracuse University,1986
Garret Siler,211,138,Augusta State University,1986
Mickell Gladness,211,99,Alabama A&M University,1986
Jerome Jordan,213,114,University of Tulsa,1986
Vernon Macklin,208,102,University of Florida,1986
E'Twaun Moore,208,102,,1986
Jeremy Pargo,188,99,Gonzaga University,1986
Ryan Reid,203,105,Florida State University,1986
Edwin Ubiles,198,92,Siena College,1986
Josh Akognon,180,83,California State University; Fullerton,1986
Aron Baynes,208,117,Washington State University,1986
Dionte Christmas,196,92,Temple University,1986
Damjan Rudez,208,103,,1986
Salah Mejri,216,111,,1986
Maciej Lampe,211,124,,1985
Darko Milicic,213,113,,1985
Trevor Ariza,203,97,University of California; Los Angeles,1985
Jackie Butler,208,113,,1985
Luol Deng,206,99,Duke University,1985
Dwight Howard,211,120,,1985
Kris Humphries,206,106,University of Minnesota,1985
Al Jefferson,208,131,,1985
Shaun Livingston,201,87,,1985
Pavel Podkolzin,226,117,,1985
Peter John,226,117,,1985
Ha Seung-Jin,221,138,,1985
Robert Swift,213,111,,1985
Sebastian Telfair,183,74,,1985
Dorell Wright,206,92,,1985
Brandon Bass,203,113,Louisiana State University,1985
Monta Ellis,190,83,,1985
Linas Kleiza,203,111,University of Missouri,1985
Chris Paul,183,79,Wake Forest University,1985
Chris Taft,208,117,University of Pittsburgh,1985
Von Wafer,196,95,Florida State University,1985
LaMarcus Aldridge,211,117,University of Texas at Austin,1985
Andrea Bargnani,213,111,,1985
Shannon Brown,193,92,Michigan State University,1985
Damir Markota,208,102,,1985
Paul Millsap,203,111,Louisiana Tech University,1985
Arron Afflalo,196,95,University of California; Los Angeles,1985
Morris Almond,198,102,Rice University,1985
Aaron Brooks,183,73,University of Oregon,1985
Guillermo Diaz,188,87,University of Miami,1985
Jared Dudley,201,102,Boston College,1985
Nick Fazekas,211,106,University of Nevada; Reno,1985
Thomas Gardner,196,102,University of Missouri,1985
Acie Law,190,88,Texas A&M University,1985
Dominic McGuire,206,99,California State University; Fresno,1985
Joakim Noah,211,104,University of Florida,1985
Oleksiy Pecherov,213,105,,1985
Kosta Perovic,218,108,,1985
Darius Washington,188,88,University of Memphis,1985
Nick Young,201,95,University of Southern California,1985
Rudy Fernandez,198,83,,1985
Marc Gasol,216,115,,1985
J.R. Giddens,216,115,,1985
Hamed Haddadi,218,115,,1985
Steven Hill,213,112,University of Arkansas,1985
Darnell Jackson,206,114,University of Kansas,1985
Rob Kurz,206,105,University of Notre Dame,1985
Courtney Lee,196,90,Western Kentucky University,1985
Anthony Morrow,196,95,Georgia Institute of Technology,1985
DeMarcus Nelson,193,90,Duke University,1985
Brandon Rush,198,99,University of Kansas,1985
Sean Singletary,183,83,University of Virginia,1985
Anthony Tolliver,203,108,Creighton University,1985
Sun Yue,206,92,,1985
Taj Gibson,206,102,University of Southern California,1985
Trey Gilder,206,83,Northwestern State University,1985
Tyler Hansbrough,206,113,University of North Carolina,1985
Othyus Jeffers,196,90,Robert Morris University (IL),1985
Marcus Landry,201,104,University of Wisconsin,1985
Patty Mills,203,111,Louisiana Tech University,1985
Sam Young,198,99,University of Pittsburgh,1985
Gary Forbes,201,99,University of Massachusetts Amherst,1985
Tiago Splitter,211,111,,1985
Gustavo Ayon,208,113,,1985
Justin Dentmon,180,83,University of Washington,1985
Greg Stiemsma,211,117,University of Wisconsin,1985
Bernard James,208,108,Florida State University,1985
Brian Roberts,185,78,University of Dayton,1985
Mirza Teletovic,206,109,,1985
Sasha Kaun,211,117,University of Kansas,1985
Carmelo Anthony,203,108,Syracuse University,1984
Chris Bosh,211,106,Georgia Institute of Technology,1984
Ndudi Ebi,206,90,,1984
LeBron James,203,113,,1984
Travis Outlaw,206,95,,1984
Zaza Pachulia,211,122,,1984
Sasha Pavlovic,211,122,,1984
Kendrick Perkins,208,122,,1984
Andre Iguodala,198,97,University of Arizona,1984
Didier Ilunga-Mbenga,198,97,,1984
Sasha Vujacic,201,88,,1984
Andrew Bogut,213,117,University of Utah,1984
Raymond Felton,185,92,University of North Carolina,1984
Sean May,206,120,University of North Carolina,1984
Rashad McCants,193,93,University of North Carolina,1984
Nate Robinson,175,81,University of Washington,1984
Charlie Villanueva,211,105,University of Connecticut,1984
Deron Williams,190,90,University of Illinois at Urbana-Champaign,1984
Antoine Wright,201,95,Texas A&M University,1984
Hassan Adams,193,99,University of Arizona,1984
Maurice Ager,196,91,Michigan State University,1984
Hilton Armstrong,211,106,University of Connecticut,1984
James Augustine,208,106,University of Illinois at Urbana-Champaign,1984
Renaldo Balkman,203,94,University of South Carolina,1984
J.J. Barea,203,94,,1984
Josh Boone,208,107,University of Connecticut,1984
Rodney Carney,201,92,University of Memphis,1984
Mardy Collins,198,99,Temple University,1984
Paul Davis,211,122,Michigan State University,1984
Quincy Douby,190,79,Rutgers University,1984
Mike Hall,203,104,George Washington University,1984
Robert Hite,188,83,University of Miami,1984
Ryan Hollins,213,108,University of California; Los Angeles,1984
Mile Ilic,216,104,,1984
Solomon Jones,208,104,University of South Florida,1984
Tarence Kinsey,198,83,University of South Carolina,1984
Chris McCray,196,87,University of Maryland,1984
Adam Morrison,203,92,Gonzaga University,1984
David Noel,198,104,University of North Carolina,1984
Leon Powe,203,108,University of California,1984
Allan Ray,188,86,Villanova University,1984
J.J. Redick,188,86,,1984
Jeremy Richardson,198,83,Delta State University,1984
Brandon Roy,198,97,University of Washington,1984
Thabo Sefolosha,201,99,,1984
Mouhamed Sene,201,99,,1984
Justin Williams,208,102,University of Wyoming,1984
Blake Ahearn,188,86,Missouri State University,1984
Jermareo Davidson,208,104,University of Alabama,1984
Marcin Gortat,211,108,,1984
Aaron Gray,213,122,University of Pittsburgh,1984
Demetris Nichols,203,97,Syracuse University,1984
Chris Richard,206,122,University of Florida,1984
Cheikh Samb,216,111,,1984
Darryl Watkins,211,117,Syracuse University,1984
C.J. Watson,211,117,,1984
Trey Johnson,196,98,Jackson State University,1984
Cartier Martin,201,99,Kansas State University,1984
O.J. Mayo,201,99,,1984
Luc Mbah,201,99,,1984
Roko Ukic,196,83,,1984
Henry Walker,196,83,,1984
Lester Hudson,190,86,University of Tennessee at Martin,1984
Chris Hunter,211,108,University of Michigan,1984
Oliver Lafayette,188,86,University of Houston,1984
Zabian Dowdell,190,86,Virginia Polytechnic Institute and State University,1984
Gary Neal,193,95,Towson University,1984
Mustafa Shakur,190,86,University of Arizona,1984
Derrick Byars,201,99,Vanderbilt University,1984
Eric Dawson,206,113,Midwestern State University,1984
Ivan Johnson,203,104,University of Oregon,1984
Derrick Williams,190,90,University of Illinois at Urbana-Champaign,1984
Chris Copeland,206,108,University of Colorado,1984
Jamal Sampson,211,106,University of California,1983
Nikoloz Tskitishvili,213,102,,1983
Slavko Vranes,226,124,,1983
Josh Childress,203,95,Stanford University,1983
Ben Gordon,190,90,University of Connecticut,1983
Devin Harris,190,87,University of Wisconsin,1983
Nenad Krstic,213,108,,1983
Kirk Snyder,198,102,University of Nevada; Reno,1983
Delonte West,193,81,Saint Joseph's University,1983
Alex Acker,196,83,Pepperdine University,1983
Eddie Basden,196,97,University of North Carolina at Charlotte,1983
Esteban Batista,208,122,,1983
Will Bynum,183,83,Georgia Institute of Technology,1983
Ike Diogu,203,113,Arizona State University,1983
Daniel Ewing,190,83,Duke University,1983
Channing Frye,211,115,University of Arizona,1983
Danny Granger,206,100,University of New Mexico,1983
Chuck Hayes,198,108,University of Kentucky,1983
Julius Hodge,201,95,North Carolina State University,1983
Jarrett Jack,190,90,Georgia Institute of Technology,1983
Jason Maxiell,201,117,University of Cincinnati,1983
Aaron Miles,185,79,University of Kansas,1983
C.J. Miles,185,79,,1983
Sergei Monia,203,99,,1983
Josh Powell,206,102,North Carolina State University,1983
Ronnie Price,188,86,Utah Valley State College,1983
Shavlik Randolph,208,108,Duke University,1983
Wayne Simien,206,115,University of Kansas,1983
Dijon Thompson,201,88,University of California; Los Angeles,1983
Ronny Turiaf,208,112,Gonzaga University,1983
Kelenna Azubuike,196,99,University of Kentucky,1983
Will Blalock,183,92,Iowa State University,1983
Cedric Bozeman,198,93,University of California; Los Angeles,1983
Randy Foye,193,96,Villanova University,1983
Mickael Gelabale,201,97,,1983
Alexander Johnson,206,108,Florida State University,1983
James Lang,208,129,,1983
Pops Mensah-Bonsu,206,108,George Washington University,1983
Steve Novak,208,102,Marquette University,1983
Kevinn Pinkney,208,111,University of Nevada; Reno,1983
Roger Powell,198,106,University of Illinois at Urbana-Champaign,1983
Chris Quinn,188,83,University of Notre Dame,1983
Uros Slokar,208,107,,1983
Craig Smith,201,113,Boston College,1983
Mike Harris,198,108,Rice University,1983
Coby Karl,196,97,Boise State University,1983
Carl Landry,206,112,Purdue University,1983
Keith Langford,193,97,University of Kansas,1983
Courtney Sims,208,111,University of Michigan,1983
Al Thornton,203,99,Florida State University,1983
Joey Dorsey,203,121,University of Memphis,1983
Dontell Jefferson,196,88,University of Arkansas,1983
Eugene Jeter,180,79,University of Portland,1983
Larry Owens,201,95,Oral Roberts University,1983
Carldell Johnson,178,81,University of Alabama at Birmingham,1983
JaKarr Sampson,211,106,University of California,1983
Marcelo Huertas,190,90,,1983
Gilbert Arenas,190,86,University of Arizona,1982
Kwame Brown,211,122,,1982
Tyson Chandler,216,108,,1982
Eddy Curry,213,133,,1982
DeSagana Diop,213,136,,1982
Eddie Griffin,208,99,Seton Hall University,1982
Tony Parker,188,83,,1982
Gerald Wallace,201,97,University of Alabama,1982
Nene Hilario,211,113,,1982
Amar'e Stoudemire,208,111,,1982
Chris Wilcox,208,100,University of Maryland,1982
Leandro Barbosa,190,87,,1982
Omar Cook,185,86,St. John's University,1982
Boris Diaw,203,113,,1982
Chris Kaman,213,120,Central Michigan University,1982
Mickael Pietrus,198,97,,1982
Zoran Planinic,201,88,,1982
Mike Sweetney,203,124,Georgetown University,1982
Dwyane Wade,193,99,Marquette University,1982
Tony Allen,193,96,Oklahoma State University,1982
Andre Barrett,178,78,Seton Hall University,1982
Erik Daniels,203,97,University of Kentucky,1982
Carlos Delfino,198,104,,1982
Chris Duhon,185,83,Duke University,1982
Andre Emmett,196,104,Texas Tech University,1982
David Harrison,213,127,University of Colorado,1982
Viktor Khryapa,206,95,,1982
Jameer Nelson,183,86,Saint Joseph's University,1982
Emeka Okafor,208,114,University of Connecticut,1982
Justin Reed,203,108,University of Mississippi,1982
Jared Reiner,211,115,University of Iowa,1982
Beno Udrih,190,92,,1982
Anderson Varejao,208,123,,1982
Alan Anderson,198,99,Michigan State University,1982
Travis Diener,185,79,Marquette University,1982
Gerald Fitch,190,85,University of Kentucky,1982
Deng Gai,206,113,Fairfield University,1982
Ryan Gomes,201,113,Providence College,1982
Joey Graham,201,102,Oklahoma State University,1982
Stephen Graham,198,97,Oklahoma State University,1982
Devin Green,201,95,Hampton University,1982
Orien Greene,193,94,University of Louisiana at Lafayette,1982
Luther Head,190,83,University of Illinois at Urbana-Champaign,1982
Rawle Marshall,206,86,Oakland University,1982
Lawrence Roberts,206,108,Mississippi State University,1982
Luke Schenscher,216,115,Georgia Institute of Technology,1982
Salim Stoudamire,185,81,University of Arizona,1982
Donell Taylor,198,81,University of Alabama at Birmingham,1982
Matt Walsh,198,92,University of Florida,1982
Hakim Warrick,206,99,Syracuse University,1982
Robert Whaley,208,117,Walsh University,1982
Marvin Williams,185,89,University of Alabama,1982
Lou Amundson,206,99,University of Nevada; Las Vegas,1982
Will Conroy,188,88,University of Washington,1982
Yakhouba Diawara,201,102,Pepperdine University,1982
Renaldo Major,201,90,California State University; Fresno,1982
Ivan McFarlin,203,108,Oklahoma State University,1982
Vassilis Spanoulis,193,88,,1982
Marcus Williams,185,89,University of Alabama,1982
Joel Anthony,206,111,University of Nevada; Las Vegas,1982
Stephane Lasme,203,97,University of Massachusetts Amherst,1982
Pero Antic,211,117,,1982
Jonathan Bender,211,91,,1981
Darius Miles,206,95,,1981
Olumide Oyedeji,208,108,,1981
DeShawn Stevenson,196,95,,1981
Kedrick Brown,201,100,Okaloosa-Walton Community College,1981
Samuel Dalembert,211,115,Seton Hall University,1981
Joseph Forte,193,87,University of North Carolina,1981
Antonis Fotsis,208,99,,1981
Steven Hunter,213,99,DePaul University,1981
Andrei Kirilenko,206,99,,1981
Zach Randolph,206,117,Michigan State University,1981
Jason Richardson,198,99,Michigan State University,1981
Kenny Satterfield,188,84,University of Cincinnati,1981
Carlos Boozer,206,117,Duke University,1981
J.R. Bremer,206,117,,1981
Drew Gooden,208,113,University of Kansas,1981
Casey Jacobsen,198,97,Stanford University,1981
Jared Jeffries,211,104,Indiana University,1981
Tito Maddox,193,86,California State University; Fresno,1981
Smush Parker,193,86,Fordham University,1981
Qyntel Woods,203,100,Northeast Mississippi Community College,1981
Vincent Yarbrough,201,95,University of Tennessee,1981
Marcus Banks,188,90,University of Nevada; Las Vegas,1981
Zarko Cabarkapa,211,106,,1981
Marquis Daniels,198,90,Auburn University,1981
Ronald Dupree,201,94,Louisiana State University,1981
Hiram Fuller,206,108,California State University; Fresno,1981
Reece Gaines,198,92,University of Louisville,1981
Willie Green,193,90,University of Detroit Mercy,1981
Jarvis Hayes,201,99,University of Georgia,1981
Kirk Hinrich,193,86,University of Kansas,1981
Jason Kapono,203,96,University of California; Los Angeles,1981
Kyle Korver,201,96,Creighton University,1981
Desmond Penigar,201,111,Utah State University,1981
Luke Ridnour,188,79,University of Oregon,1981
John Edwards,213,124,Kent State University,1981
Luis Flores,188,90,Manhattan College,1981
Matt Freije,208,108,Vanderbilt University,1981
Royal Ivey,190,90,University of Texas at Austin,1981
Quinton Ross,198,88,Southern Methodist University,1981
Pape Sow,208,113,California State University; Fullerton,1981
Jackson Vroman,208,99,Iowa State University,1981
Earl Barron,213,113,University of Memphis,1981
Jose Calderon,190,90,,1981
Noel Felix,206,102,California State University; Fresno,1981
Francisco Garcia,201,88,University of Louisville,1981
Melvin Sanders,196,95,Oklahoma State University,1981
James Singleton,203,97,Murray State University,1981
Derrick Zimmerman,190,88,Mississippi State University,1981
Andre Brown,206,111,DePaul University,1981
Desmon Farmer,196,99,University of Southern California,1981
Andreas Glyniadakis,216,127,,1981
Lance Allred,211,113,Weber State University,1981
Kasib Powell,201,97,Texas Tech University,1981
Anthony Brown,206,111,DePaul University,1981
Al Harrington,206,104,,1980
J.R. Henderson,206,104,,1980
Bruno Sundov,218,99,,1980
Dalibor Bagaric,216,115,,1980
Jamal Crawford,196,90,University of Michigan,1980
Keyon Dooling,190,88,University of Missouri,1980
Donnell Harvey,203,99,University of Florida,1980
Mike Miller,203,98,University of Florida,1980
Quentin Richardson,198,101,DePaul University,1980
Brandon Armstrong,196,85,Pepperdine University,1980
Jamison Brewer,193,83,Auburn University,1980
Pau Gasol,213,113,,1980
Richard Jefferson,201,105,University of Arizona,1980
Troy Murphy,211,111,University of Notre Dame,1980
Vladimir Radmanovic,208,102,,1980
Bobby Simmons,201,95,DePaul University,1980
Leon Smith,208,106,,1980
Robert Archibald,211,113,University of Illinois at Urbana-Champaign,1980
Caron Butler,201,103,University of Connecticut,1980
Reggie Evans,203,111,University of Iowa,1980
Marcus Haislip,208,104,University of Tennessee,1980
Adam Harrington,196,90,Auburn University,1980
Junior Harrington,193,81,Wingate University,1980
Chris Jefferies,203,102,California State University; Fresno,1980
Roger Mason,196,90,University of Virginia,1980
Yao Ming*,229,140,,1980
Bostjan Nachbar,206,100,,1980
Tayshaun Prince,206,96,University of Kentucky,1980
Kareem Rush,198,97,University of Missouri,1980
Tamar Slay,203,97,Marshall University,1980
Jiri Welsch,201,94,,1980
Jerome Beasley,208,107,University of North Dakota,1980
Troy Bell,185,81,Boston College,1980
Steve Blake,190,78,University of Maryland,1980
Keith Bogans,196,97,University of Kentucky,1980
Curtis Borchardt,213,108,Stanford University,1980
Matt Carroll,198,96,University of Notre Dame,1980
Brian Cook,206,106,University of Illinois at Urbana-Champaign,1980
Alex Garcia,190,99,,1980
Udonis Haslem,203,106,University of Florida,1980
Josh Howard,201,95,Wake Forest University,1980
Brandon Hunter,201,117,Ohio University,1980
Linton Johnson,203,92,Tulane University,1980
Raul Lopez,185,77,,1980
Kirk Penney,196,99,University of Wisconsin,1980
Theron Smith,203,102,Ball State University,1980
Luke Walton,203,106,University of Arizona,1980
David West,206,113,Xavier University,1980
Rafael Araujo,211,127,Brigham Young University,1980
Matt Bonner,208,106,University of Florida,1980
Antonio Burks,185,90,University of Memphis,1980
Lionel Chalmers,183,81,Xavier University,1980
Nick Collison,208,115,University of Kansas,1980
Mario Kasun,216,117,,1980
Bernard Robinson,198,95,University of Michigan,1980
Yuta Tabuse,175,74,Brigham Young University Hawaii,1980
Arvydas Macijauskas,193,97,,1980
Andre Owens,193,90,University of Houston,1980
Jamario Moon,203,92,Meridian Community College,1980
Juan Carlos,203,92,,1980
Luis Scola,206,108,,1980
Tracy McGrady,203,95,,1979
Ricky Davis,198,88,University of Iowa,1979
Larry Hughes,196,83,Saint Louis University,1979
William Avery,188,89,Duke University,1979
Elton Brand,203,124,Duke University,1979
Baron Davis,190,94,University of California; Los Angeles,1979
Jumaine Jones,203,98,University of Georgia,1979
Corey Maggette,198,98,Duke University,1979
Lamar Odom,208,99,University of Rhode Island,1979
Khalid El-Amin,178,90,University of Connecticut,1979
Stanislav Medvedenko,208,113,,1979
Chris Mihm,213,120,University of Texas at Austin,1979
Joel Przybilla,216,115,University of Minnesota,1979
Michael Redd,198,99,Ohio State University,1979
Stromile Swift,206,102,Louisiana State University,1979
Jake Tsakalidis,218,129,,1979
Hedo Turkoglu,208,99,,1979
Carlos Arroyo,188,91,Florida International University,1979
Charlie Bell,190,90,Michigan State University,1979
Michael Bradley,208,111,Villanova University,1979
Primoz Brezec,218,114,,1979
Ernest Brown,213,110,Indian Hills Community College,1979
Tierre Brown,188,85,McNeese State University,1979
Joe Crispin,183,83,Pennsylvania State University,1979
Trenton Hassell,196,90,Austin Peay State University,1979
Kirk Haston,206,109,Indiana University,1979
Brendan Haywood,213,121,University of North Carolina,1979
Terence Morris,206,100,University of Maryland,1979
Norm Richardson,196,86,Hofstra University,1979
Jeryl Sasser,198,90,Southern Methodist University,1979
Jeff Trepagnier,193,90,University of Southern California,1979
Ratko Varda,216,117,,1979
Earl Watson,185,88,University of California; Los Angeles,1979
Lonny Baxter,203,117,University of Maryland,1979
Rasual Butler,201,97,La Salle University,1979
Ryan Humphrey,203,106,University of Notre Dame,1979
Fred Jones,193,95,University of Oregon,1979
Sean Lampley,201,102,University of California,1979
Ronald Murray,193,86,Shaw University,1979
Mehmet Okur,211,112,,1979
Chris Owens,201,111,University of Texas at Austin,1979
Jannero Pargo,185,79,University of Arkansas,1979
John Salmons,201,95,University of Miami,1979
Cezary Trybanski,218,108,,1979
Mike Wilks,178,83,Rice University,1979
Britton Johnsen,208,95,University of Utah,1979
Keith McLeod,188,85,Bowling Green State University,1979
Maurice Baker,185,79,Oklahoma State University,1979
Tony Bobbitt,193,86,University of Cincinnati,1979
Corsley Edwards,206,124,Central Connecticut State University,1979
Andres Nocioni,201,102,,1979
Kevin Burleson,190,92,University of Minnesota,1979
Anthony Grundy,190,81,North Carolina State University,1979
Randy Holcomb,206,102,San Diego State University,1979
Lynn Greer,188,79,Temple University,1979
Walter Herrmann,206,102,,1979
Brice Johnson,208,95,University of Utah,1979
Kobe Bryant,198,96,,1978
Jermaine O'Neal,211,102,,1978
Corey Benjamin,198,90,Oregon State University,1978
Mike Bibby,185,86,University of Arizona,1978
Dirk Nowitzki,213,111,,1978
Korleone Young,201,96,,1978
Dion Glover,196,103,Georgia Institute of Technology,1978
Richard Hamilton,198,83,University of Connecticut,1978
Shawn Marion,201,99,University of Nevada; Las Vegas,1978
Milt Palacio,190,88,Colorado State University,1978
Erick Barkley,185,80,St. John's University,1978
Marcus Fizer,206,118,Iowa State University,1978
Eddie Gill,183,86,Weber State University,1978
Jason Hart,190,83,Syracuse University,1978
Eddie House,185,81,Arizona State University,1978
Jamaal Magloire,211,117,University of Kentucky,1978
Paul McPherson,193,95,DePaul University,1978
Jerome Moiso,208,106,University of California; Los Angeles,1978
Chris Porter,201,98,Auburn University,1978
Lavor Postell,196,97,St. John's University,1978
Soumaila Samake,213,104,,1978
Malik Allen,208,115,Villanova University,1978
Chris Andersen,208,111,Blinn College,1978
Shane Battier,203,99,Duke University,1978
Ruben Boumtje-Boumtje,213,116,Georgetown University,1978
Speedy Claxton,180,75,Hofstra University,1978
Maurice Evans,196,99,University of Texas at Austin,1978
Tang Hamilton,203,99,Mississippi State University,1978
Alvin Jones,211,120,Georgia Institute of Technology,1978
Dean Oliver,180,81,University of Iowa,1978
Brian Scalabrine,206,109,University of Southern California,1978
Will Solomon,185,83,Clemson University,1978
Etan Thomas,206,116,Syracuse University,1978
Jamaal Tinsley,190,88,Iowa State University,1978
Loren Woods,216,111,University of Arizona,1978
Dan Dickau,183,86,Gonzaga University,1978
Juan Dixon,190,74,University of Maryland,1978
